rt1_1997,rt1_1998,rt1_1999,rt1_2000,rt1_2001,rt1_2002,rt1_2003,rt1_2004,rt1_2005,rt1_2006,rt1_2007,rt1_2008,rt1_2009,rt1_2010,rt1_2011,rt1_2012,rt1_2013,rt1_2014
0.262272,0.186772,0.392435,0.45717,0.326328,0.372511,0.304428,0.320386,0.196287,0.329354,0.291339,0.431144,0.264544,0.523927,0.337861,0.593166,0.435518,2.10924
0.319842,0.215955,0.451519,0.451549,0.516501,0.47647,0.429705,0.314641,0.362768,0.464021,0.389002,0.453517,0.444594,0.729268,1.26098,1.09118,0.338463,5.20084
0.11789,0.113421,0.165701,0.147119,0.14579,0.162787,0.165641,0.125101,0.089782,0.137846,0.123296,0.124987,0.0914718,0.191455,0.272939,0.298114,0.0865988,0.458648
0.264156,0.339755,0.384248,0.419842,0.378851,0.315277,0.414073,0.295762,0.319749,0.273685,0.321,0.322437,0.359938,0.47645,0.373993,1.18247,0.407452,1.95064
0.283198,0.203089,0.330432,0.322923,0.292934,0.241314,0.298332,0.258865,0.14658,0.328134,0.27502,0.377637,0.376452,0.497238,0.415821,0.99396,0.359328,3.15938
0.161596,0.119818,0.229269,0.217423,0.259167,0.196,0.201217,0.162468,0.117046,0.100696,0.166116,0.207017,0.13963,0.214533,0.326233,0.447759,0.204058,1.07283
0.416942,0.357992,0.488193,0.594606,0.616138,0.695604,0.64361,0.34117,0.437053,0.702769,0.304181,0.483533,0.341967,0.945434,0.454318,2.062,0.495291,15.248
0.0859732,0.0851836,0.113678,0.191753,0.150496,0.168946,0.138666,0.107126,0.0900652,0.159421,0.0867366,0.158355,0.141016,0.233998,0.177057,0.502193,0.152128,0.980916
0.128836,0.110271,0.213868,0.226478,0.230224,0.19254,0.188188,0.230464,0.132903,0.177857,0.124723,0.157278,0.171254,0.343957,0.310955,0.90904,0.167713,1.66477
0.277191,0.261269,0.394491,0.370217,0.509526,0.510665,0.411396,0.366647,0.408355,0.432716,0.353235,0.483436,0.412503,0.55807,0.798823,1.0341,0.36109,6.67414
0.290845,0.227126,0.376694,0.560534,0.636253,0.533456,0.568186,0.370794,0.309458,0.633804,0.526718,0.505461,0.56801,0.652146,0.667678,1.75721,0.36426,4.10394
0.179533,0.121159,0.272182,0.252388,0.246251,0.225658,0.19461,0.126911,0.129908,0.231223,0.163914,0.249094,0.22642,0.404026,0.396392,0.956889,0.166741,1.49885
0.227356,0.240182,0.336472,0.458674,0.377218,0.335299,0.382335,0.358016,0.149455,0.395326,0.227965,0.371014,0.311307,0.431811,0.527458,1.26788,0.294353,4.14097
0.331068,0.235591,0.356422,0.462488,0.3979,0.296831,0.333917,0.24161,0.205473,0.24826,0.25756,0.577722,0.602041,0.457917,0.526528,0.991026,0.424477,1.25703
0.125545,0.0874577,0.126893,0.167135,0.170625,0.141912,0.148258,0.160798,0.118054,0.135003,0.0909868,0.160439,0.132185,0.226043,0.207102,0.439456,0.125004,0.841408
0.275967,0.29117,0.315068,0.409725,0.418886,0.363726,0.441921,0.282114,0.262235,0.302729,0.303602,0.292946,0.364662,0.529794,0.490735,0.922736,0.326202,2.0196
0.287835,0.246405,0.44725,0.45496,0.512834,0.457948,0.511186,0.393245,0.404973,0.341991,0.361759,0.41518,0.32152,0.63644,0.882751,2.65184,0.334909,0.630953
0.151262,0.172131,0.244548,0.335521,0.265196,0.319265,0.29978,0.165488,0.16286,0.199097,0.18925,0.288511,0.201934,0.274086,0.313273,0.735095,0.235774,2.40545
0.106533,0.122398,0.18837,0.208402,0.16357,0.198032,0.148776,0.193808,0.125777,0.180667,0.106059,0.088744,0.129097,0.179759,0.196283,0.373054,0.06282,0.561206
0.281312,0.182453,0.387789,0.467937,0.355666,0.3039,0.290748,0.266645,0.212789,0.456736,0.270054,0.37324,0.33006,0.244016,0.723855,1.37525,0.354607,1.83002
0.36106,0.428884,0.806168,0.802179,0.615362,0.598345,0.548658,0.536872,0.429493,0.582826,0.50118,0.723847,1.1544,1.10076,1.07324,2.73033,0.538773,1.96424
