sbt1_1996,sbt1_1997,sbt1_1998,sbt1_1999,sbt1_2000,sbt1_2001,sbt1_2002,sbt1_2003,sbt1_2004,sbt1_2005,sbt1_2006,sbt1_2007,sbt1_2008,sbt1_2009,sbt1_2010,sbt1_2011,sbt1_2012,sbt1_2013,sbt1_2014,sbt1_2015
176.934,177.442,179.622,181.191,184.646,191.657,200.07,216.323,236.686,258.106,270.489,290.945,302.798,306.138,306.256,305.543,301.474,301.926,311.816,337.912
241.356,229.19,214.817,198.428,183.899,173.345,167.016,169.97,179.878,191.167,193.838,204.904,210.245,210.844,210.859,214.143,220.459,237.595,268.42,317.62
267.882,258.109,247.765,237.989,229.49,226.309,231.399,250.259,276.516,302.345,312.787,324.748,328.158,326.791,327.809,335.158,348.734,379.211,430.759,509.974
374.447,360.738,346.921,333.538,322.26,315.961,316.025,330.654,355.841,380.186,388.581,400.145,402.775,396.564,384.477,373.967,366.628,373.177,404.274,479.992
148.316,146.636,145.937,143.977,143.452,144.205,144.492,150.577,160.403,171.384,174.187,185.671,191.948,194.537,195.88,198.629,201.052,208.657,220.69,244.767
399.388,387.281,370.191,348.878,328.62,314.181,307.107,315.618,338.293,368.578,389.749,412.919,423.402,422.759,416.831,411.861,410.771,428.407,482.689,608.685
169.943,167.309,166.92,165.369,162.56,162.43,164.733,176.313,192.895,209.47,215.459,227.885,235.131,238.554,240.057,240.524,235.619,233,234.466,246.057
226.728,220.61,214.058,206.48,199.613,194.142,190.494,195.174,206.282,220.051,224.049,236.214,240.508,241.117,242.51,246.757,249.635,257.516,273.448,317.087
143.155,142.172,141.105,138.734,137.055,138.125,141.08,149.585,163.056,177.369,184.084,199.266,210.822,219.281,228.811,240.826,252.949,272.609,302.368,352.552
160.633,156.998,152.868,147.043,141.774,139.562,139.882,149.212,164.68,181.859,188.926,201.466,206.837,208.674,212.494,221.053,230.821,246.395,271.482,312.004
191.147,184.518,179.948,174.372,168.668,165.126,161.443,165.972,174.976,183.688,186.238,199.029,209.416,217.634,224.838,232.123,237.355,247.898,268.374,308.604
286.987,276.634,266.55,257.5,249.608,245.345,243.201,250.894,263.36,276.732,277.822,284.418,283.705,278.592,273.503,270.148,266.35,268.075,277.374,306.456
220.955,217.403,212.557,205.915,199.847,197.697,198.557,211.979,233.333,257.213,269.166,283.109,286.719,283.028,277.741,274.068,270.925,273.38,281.393,301.139
210.255,203.183,194.86,184.652,175.128,169.056,164.729,169.11,177.402,187.706,191.68,203.117,207.818,207.551,206.277,205.567,203.248,205.136,212.152,231.185
120.129,117.834,115.337,112.218,110.114,110.96,110.466,115.273,121.459,128.803,128.49,138.113,143.938,146.99,149.648,152.938,152.624,153.846,155.597,162.912
221.529,210.45,201.037,192.532,185.933,182.769,180.966,188.355,201.602,215.561,219.031,229.277,233.362,233.581,233.681,236.305,239.093,245.471,253.917,267.073
229.327,218.659,209.259,202.05,196.875,193.736,191.155,196.728,208.521,223.917,230.433,244.143,250.368,253.265,256.462,262.101,268.208,282.616,310.484,361.478
127.311,125.161,122.505,118.924,114.852,113.112,109.954,113.355,119.655,125.099,121.867,129.616,135.129,137.849,139.592,141.238,139.113,138.362,139.947,145.623
226.587,221.507,216.173,210.714,206.987,207.367,210.524,223.274,239.795,255.241,260.572,272.22,279.05,282.055,282.908,283.496,282.441,285.789,296.591,320.176
188.979,187.064,184.962,182.948,182.396,185.217,191.252,204.799,221.307,235.5,239.461,250.035,256.009,260.062,264.452,273.157,283.789,301.297,327.155,364.59
179.243,174.391,169.707,162.057,153.09,144.797,137.558,136.95,139.708,144.032,139.778,145.093,146.268,143.67,139.868,137.186,134.006,134.548,138.334,148.141
286.821,280.534,271.381,260.715,252.449,250.262,250.854,260.954,278.302,299.517,314.097,335.801,347.284,349.918,350.188,349.186,343.817,343.761,360.452,421.03
121.953,119.583,118.208,115.735,113.403,110.596,106.82,109.772,116.789,126.002,128.691,139.809,147.273,150.85,154.386,158.384,159.905,164.531,172.322,187.55
150.953,149.178,147.799,144.853,141.266,137.77,133.195,136.071,143.378,152.727,154.714,165.377,173.107,177.878,179.823,180.169,177.207,178.29,188.243,213.778
250.096,241.196,232.791,226.6,224.312,226.058,226.962,234.464,247.91,264.322,275.479,295.311,309.542,318.097,325.029,331.885,336.068,345.709,363.207,401.177
216.88,215.515,214.925,214.324,214.42,215.871,218.16,229.494,250.952,280.776,305.97,335.535,354.205,364.568,373.371,386.14,397.942,413.311,436.26,477.775
157.65,153.75,149.56,144.371,139.889,137.707,136.453,143.638,156.563,168.663,170.514,179.542,182.07,181.57,181.598,185.139,189.348,199.57,218.192,251.007
