ro_gr1,h_gr1,m_gs1,rbar_ag1,rinit_ag1,rho_gr1,vartheta_gr1,bo,bmsy,msy1,fmsy1,umsy1,q1,q2,q3,q4,SSB1,sel_g1,sel_sd1,sel_g2,sel_sd2,sel_g3,sel_sd3,sel_g4,sel_sd4,sel_g5,sel_sd5,f
0.55419,0.807726,0.338501,0.382701,0.181989,0.0588235,1.47059, 393.175, 104.201, 52.6164, 17.4649, 1,0.125118,0.131333,0.171854,0.12079,207.602,9.51496,0.956026,9.44324,1.85692,9,0.5,9.16028,1.29429,8.68605,0.984649,153.68
0.224352,0.790078,0.263455,0.139467,0.0525287,0.0588235,1.47059, 303.859, 85.9266, 31.1706, 4.7164, 0.991053,0.169016,0.183952,0.197723,0.144003,137.401,8.96173,0.899019,10.0801,2.55415,9,0.5,9.16468,1.68595,8.64123,1.10095,145.443
1.4339,0.870226,0.337501,0.718807,0.229439,0.0588235,1.47059, 1025.52, 242.456, 148.372, 32.1178, 1,0.111938,0.100995,0.0897263,0.0757443,458.254,9.30656,0.861313,11.6196,2.19698,9,0.5,9.39115,1.43007,9.45431,1.07404,143.189
0.587321,0.977225,0.306702,0.462512,0.146046,0.0588235,1.47059, 541.98, 104.17, 78.4137, 31.9155, 1,0.121071,0.124057,0.0830562,0.0761244,349.66,9.35977,0.954165,11.388,2.20078,9,0.5,8.74763,1.33349,9.24622,1.13942,147.88
0.799008,0.828826,0.353068,0.522129,0.340111,0.0588235,1.47059, 504.893, 127.771, 72.4712, 20.5984, 1,0.136491,0.106059,0.0965659,0.0930696,283.101,9.37925,0.947054,11.8399,2.26467,9,0.5,8.92112,1.4037,9.48701,1.12984,143.493
0.46734,0.868979,0.306224,0.335782,0.130243,0.0588235,1.47059, 433.019, 106.592, 56.0551, 20.2318, 1,0.15234,0.142411,0.100878,0.109009,257.026,9.4769,0.915829,11.2934,2.282,9,0.5,8.26744,1.37712,9.38697,1.161,152.357
0.412317,0.876248,0.311091,0.254007,0.0996994,0.0588235,1.47059, 366.601, 88.4493, 48.5972, 17.3445, 1,0.271191,0.1581,0.14178,0.140132,184.394,9.2196,0.913046,13.2054,2.70944,9,0.5,8.50393,1.34868,9.24875,1.144,142.7
0.477904,0.912643,0.305286,0.293161,0.150437,0.0588235,1.47059, 446.361, 101.262, 60.1628, 22.495, 1,0.127565,0.127262,0.100113,0.104935,221.651,9.39328,0.931806,10.3545,2.12213,9,0.5,7.8509,1.34267,8.99992,1.13932,143.126
0.260692,0.897762,0.270979,0.173555,0.0576414,0.0588235,1.47059, 329.472, 80.4374, 38.3447, 10.0202, 0.999956,0.181713,0.193187,0.190583,0.157117,161.587,9.44434,1.01993,10.8147,2.73771,9,0.5,9.19646,1.5601,9.28859,1.20635,145.857
1.20234,0.841004,0.347769,1.11054,0.378531,0.0588235,1.47059, 792.189, 197.689, 113.399, 26.2356, 1,0.0768349,0.0675093,0.0503488,0.0442514,649.502,9.61456,0.950048,11.9687,2.26592,9,0.5,8.78227,1.31554,9.10416,1.08631,139.696
0.47006,0.951708,0.302833,0.267971,0.14808,0.0588235,1.47059, 448.335, 94.4028, 61.6499, 20.0153, 1,0.121865,0.140166,0.156477,0.103456,199.93,9.46373,1.02504,9.96208,2.09338,9,0.5,9.82887,1.73335,8.83131,1.09896,148.602
0.263669,0.755507,0.27119,0.179088,0.0683115,0.0588235,1.47059, 332.594, 98.4729, 33.4417, 4.24597, 0.985678,0.197732,0.198451,0.133688,0.138606,163.417,9.26008,0.999009,11.1495,2.50667,9,0.5,7.92747,1.30757,9.03935,1.17653,152.014
0.578824,0.910756,0.347685,0.457488,0.264896,0.0588235,1.47059, 381.626, 81.9615, 59.7369, 39.8413, 1,0.114323,0.116063,0.124307,0.106517,243.861,9.13254,0.856608,10.5506,2.24261,9,0.5,9.25653,1.48318,9.33686,1.12228,143.584
